car_id,car_make,car_model,car_year,car_mileage,car_price,car_transmission,car_driveTrain,car_vendor,car_location,car_engine
73531922,Toyota,Corolla-LE,2015,23036,13298,Automatic,FWD,Chantilly, VA 20151,1.8 4 Cylinder Sequential-Port F.I.
72354903,Jeep,Wrangler-Unlimted-Sahara,2012,73619,26995,AUTOMATIC,4WD,Baltimore, MD 21215,3.6L 6 CYL. GAS
73704666,Honda,Civic-LX,2014,27784,14097,Automatic,FWD,Ellicott City, MD 21043,1.80L I4
73566743,Jeep,Grand-Cherokee-Limited,2014,36636,27899,8-Speed Automatic,4WD,Palmyra, PA 17078,3.6L V6 Flex Fuel 24V VVT
73745994,Hyundai,Santa-Fe-Sport-24L,2013,48568,18981,A,AWD,Doylestown, PA 18902,2.40L I4
72021162,Hyundai,Accent-SE,2016,12145,12619,A,FWD,Langhorne, PA 19047,1.60L I4
68842989,GMC,Yukon-Denali,2015,24490,56994,Automatic,4WD,Venice, FL 34285,6.20L V8
72942655,Chevrolet,Malibu-LT,2014,46570,14998,A,FWD,Fort Myers, FL 33966,2.50L I4
72367561,Lincoln,Navigator-L,2014,44807,35991,6-Speed Automatic,4WD,Lititz, PA 17543,5.4 8 Cylinder Fuel Injected
73099146,Hyundai,Sonata-Limited,2013,31750,14000,,,Turnersville, NJ 08012,
73328867,Chevrolet,Malibu-LT,2015,18475,18849,6-Speed Automatic,FWD,Jenkintown, PA 19046,2.5 4 Cylinder Fuel Injected
68994559,Mazda,Cx-5-Sport,2015,20530,23988,A,AWD,State College, PA 16801,2.50L I4
73432192,Kia,Optima-LX,2015,26624,11999,AUTOMATIC,FWD,Lake Worth, FL 33461,2.4 L
73596441,Hyundai,Santa-Fe-Sport-24L,2016,35184,18305,A,FWD,Chester, VA 23836,2.40L I4
72657189,Buick,Lesabre-Custom,1997,113339,1200,4-Speed Automatic,FWD,Bear, DE 19701,3.8 6 Cylinder Fuel Injection
73227897,Kia,Sportage-EX,2016,20873,23888,Shiftable Automatic,AWD,Conshohocken, PA 19428,2.4 4 Cylinder Fuel Injected
73677186,Hyundai,Genesis-38l,2016,11947,30998,A,RWD,Midlothian, VA 23114,3.80L V6
73242301,Volkswagen,Jetta-14T-SE,2016,37308,11999,AUTOMATIC,FWD,Lake Worth, FL 33461,1.4 L
73572546,Infiniti,QX60,2015,47542,32392,Variable,AWD,Harrisburg, PA 17111,3.5 L
73645247,Subaru,Crosstrek-20i-Special-Edition,2017,457,24998,Automatic,AWD,King Of Prussia, PA 19406,2.00L H4
72832898,Buick,Lacrosse-Leather,2014,39826,17998,A,FWD,Boynton Beach, FL 33426,2.40L I4
73560571,Jeep,Grand-Cherokee-Laredo,2015,46988,21995,Automatic,4WD,Warminster, PA 18974,3.6 6 Cylinder Sequential-Port F.I.
73572543,Cadillac,SRX-Luxury-Collection,2014,25104,26881,Automatic,FWD,Harrisburg, PA 17111,3.6L
73084835,Ford,F150-XL,2014,73564,25085,Automatic,RWD,North Palm Beach, FL 33408,5.0l V8
73675758,Buick,Century-Custom,1999,61312,4986,,,Mechanicsburg, PA 17050,
73619251,Subaru,Crosstrek-20i-Premium,2016,18800,24814,Automatic,AWD,East Petersburg, PA 17520,2.00L H4
73727070,Ford,F350-Super-Duty-SRW-Lariat,2016,23901,54999,A,4WD,Prince Frederick, MD 20678,6.70L V8
73186902,Ford,F250-Super-Duty-XL,2016,38466,39999,Automatic,4WD,Laurel, MD 20707,6.7 8 Cylinder Not Specified
65658388,BMW,X5-xDrive30i,2009,118597,15977,AUTO,AWD,North Wales, PA 19454,Straight 6 Cylinder Engine
72928335,Ford,Escape-SE,2015,24477,16998,A,FWD,Fort Myers, FL 33966,1.60L I4
73742760,Hyundai,Sonata-GLS,2014,37344,9988,A,FWD,West Palm Beach, FL 33409,2.40L I4
73822550,Infiniti,Ex37,2013,42322,22718,A,RWD,Stuart, FL 34997,3.70L V6
73101267,Jeep,Patriot-Sport,2017,14374,13999,AUTOMATIC,FWD,Lake Worth, FL 33461,2.0 L
72412728,Ford,Escape-SE,2014,42694,16998,A,AWD,King Of Prussia, PA 19406,1.60L I4
73390676,Chevrolet,Silverado-1500-LT,2017,17573,27999,AUTOMATIC,RWD,Lake Worth, FL 33461,4.3L
71462633,Toyota,Camry-LE,2007,146419,5977,A,FWD,Milford, DE 19963,2.40L I4
72242973,Acura,MDX,2016,14706,39990,9-Speed Shiftable Automatic,AWD,Turnersville, NJ 08012,3.5 6 Cylinder Fuel Injected
73293377,Hyundai,Genesis-Coupe-20t,2013,44813,14988,Automatic,RWD,West Palm Beach, FL 33409,2.00L I4
73018455,Chevrolet,Equinox-Ls,2013,32736,14998,A,FWD,Gaithersburg, MD 20877,2.40L I4
73283509,BMW,3-Series-320i,2017,5746,33500,8-Speed Shiftable Automatic,RWD,West Palm Beach, FL 33409,2.0 4 Cylinder Turbocharged
73463940,Lexus,LS-460,2009,68107,20990,Automatic,RWD,North Palm Beach, FL 33408,4.6 8 Cylinder Fuel Injected
73462145,Toyota,4runner-SR5,2016,38698,28695,Automatic,4WD,Chantilly, VA 20151,4.0 6 Cylinder Sequential-Port F.I.
71917570,Acura,TL,2013,19571,20990,6-Speed Shiftable Automatic,FWD,Turnersville, NJ 08012,3.5 6 Cylinder Direct Injection
73525434,GMC,Acadia-SLT-1,2017,1883,28999,AUTOMATIC,FWD,Lake Worth, FL 33461,3.6L
73727192,Hyundai,Sonata-GLS,2012,53348,9541,Automatic,FWD,Delray Beach, FL 33483,2.40L I4
72772712,GMC,Terrain-SLT,2016,45206,21980,AUTOMATIC,FWD,Cape Coral, FL 33991,3.6L 6 cyl
30038335,BMW,7-Series-750Li-xDrive,2010,59480,44250,6 SP SHIFTABLE AUTO,AWD,North Wales, PA 19454,4.4 L
73679432,Ford,Mustang-GT,2010,91361,16998,Automatic,RWD,Ellicott City, MD 21043,4.60L V8
73619027,Ford,Escape-SE,2014,31246,15998,A,FWD,King Of Prussia, PA 19406,1.60L I4
70117962,Ford,Econoline-Cargo-Van,2014,35532,17980,Automatic,RWD,Baltimore, MD 21215,4.6L V8 SOHC 16VCYL
72436727,Ford,Fiesta-Titanium,2014,23645,13299,Automatic,FWD,Downingtown, PA 19335,1.60L I4
73047162,Hyundai,Sonata-SE-20T,2014,29789,14800,Automatic,FWD,Ephrata, PA 17522,4 Cylinder 2.0L
73553593,Subaru,Forester-25i-Limited,2014,60106,19479,Automatic,AWD,Fort Myers, FL 33966,2.50L H4
72207896,Hyundai,Tucson-GLS,2012,90397,12900,Automatic,AWD,Philadelphia, PA 19124,2.4L L4 DOHC 16V
72451047,Dodge,Durango-Limited,2016,29785,32995,A,AWD,Hamburg, PA 19526,3.60L V6
73644910,Hyundai,Santa-Fe-SE,2016,43469,17999,AUTOMATIC,AWD,Lake Worth, FL 33461,3.3 L
63304363,Chevrolet,Suburban-LS,2002,184600,6495,4-Speed Automatic,4WD,Bear, DE 19701,0.0 8 Cylinder Other
73854779,Hyundai,Santa-Fe-Sport-20T,2014,29398,24557,6-Speed Automatic,AWD,Marlton, NJ 08053,2.0 4 Cylinder Fuel Injected Turbo
66586652,Chrysler,Town-and-Country-Touring-Ed,2015,40912,16400,6-Speed Shiftable Automatic,FWD,Lake Park, FL 33403,3.6 6 Cylinder Fuel Injected
73704173,Toyota,Corolla-L,2016,41869,11999,VARIABLE,FWD,Lake Worth, FL 33461,1.8 L
73799050,Kia,Cadenza-Premium,2017,-1,35597,A,FWD,Bradenton, FL 34207,3.30L V6
72161543,Mazda,Cx-5-Grand-Touring,2016,28656,25988,A,AWD,State College, PA 16801,2.50L I4
71343297,BMW,3-Series-320i-Xdrive,2017,4027,34482,AUTOMATIC,AWD,Fairfax, VA 22031,2.0 L
73515843,Ford,Explorer-XLT,2013,69482,17920,6-Speed Shiftable Automatic,FWD,Turnersville, NJ 08012,3.5 6 Cylinder Fuel Injected
